Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/04/2018 to 30/04/,2018,01/03/2018 to 31/03/,2018,01/01/2018 to 30/04/,2018,,01/01/2017 to 30/04/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,42,37,39,36,174,162,93,117,106,91
,(ii) Major,30,20,28,14,108,77,71,96,65,68
,Total,72,57,67,50,282,239,85,213,171,80
2,Kidnapping of Women (i) Minor,119,71,128,61,472,340,72,444,251,57
,(ii) Major,2,,1,1,5,3,60,4,2,50
,Total,121,71,129,62,477,343,72,448,253,56
3,Outraging Modesty of Women u/s 354 IPC,231,165,236,165,914,705,77,710,522,74
4,Intended insult to Modesty of Women u/s 509 IPC.,43,22,56,22,190,113,59,145,72,50
5,Dowry Prohibition Act.,2,,2,,6,1,17,,,
6,(a) Dowry related murder u/s 302 IPC,,,2,2,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,,,,,3,3,100,4,3,75
,(C) Dowry related suicides u/s 306 IPC,,,,,3,2,67,15,12,80
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,38,10,31,3,159,42,26,184,43,23
7,(a) Murder due to other reasons u/s 302 IPC,5,4,1,1,8,5,63,9,7,78
,(b) Suicides due to other reasons u/s 306 IPC,2,1,2,1,9,5,56,8,6,75
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,5,,3,1,14,2,14,15,,
8,No of cases registered Rape with POCSO,42,37,39,36,174,162,93,117,106,91
,No. of cases registered Molestation with POCSO,48,33,51,38,182,137,75,99,93,94
,No. of cases registered Eve-Teasing with POCSO,10,10,7,6,28,38,136,15,14,93
,Other IPC with POCSO,11,7,5,5,26,22,85,22,21,95
,PITA With POSCO (Excluding Rape),,,1,1,2,1,50,5,5,100
Total Crime Against Women,,519,330,529,307,2067,1462,71,1751,1089,62
