Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/07/2018 to 31/07/,2018,01/06/2018 to 30/06/,2018,01/01/2018 to 31/07/,2018,,01/01/2017 to 31/07/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,51,46,33,27,321,308,96,251,233,93
,(ii) Major,23,16,22,10,184,146,79,156,116,74
,Total,74,62,55,37,505,454,90,407,349,86
2,Kidnapping of Women (i) Minor,124,77,157,84,840,635,76,773,567,73
,(ii) Major,1,,1,1,6,4,67,12,7,58
,Total,125,77,158,85,846,639,76,785,574,73
3,Outraging Modesty of Women u/s 354 IPC,171,114,175,108,1463,1149,79,1257,954,76
4,Intended insult to Modesty of Women u/s 509 IPC.,33,16,51,29,325,206,63,256,138,54
5,Dowry Prohibition Act.,,,1,,8,1,13,1,,
6,(a) Dowry related murder u/s 302 IPC,,,,,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,,,,,4,4,100,7,5,71
,(C) Dowry related suicides u/s 306 IPC,4,3,5,3,13,10,77,19,16,84
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,40,5,45,6,284,91,32,346,116,34
7,(a) Murder due to other reasons u/s 302 IPC,3,2,3,3,18,14,78,18,15,83
,(b) Suicides due to other reasons u/s 306 IPC,1,1,,,10,7,70,15,12,80
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,3,,3,,21,5,24,22,4,18
8,No of cases registered Rape with POCSO,51,46,33,27,321,308,96,251,233,93
,No. of cases registered Molestation with POCSO,30,28,32,26,290,247,85,173,170,98
,No. of cases registered Eve-Teasing with POCSO,5,5,8,8,51,42,82,61,56,92
,Other IPC with POCSO,3,2,11,10,46,41,89,17,15,88
,PITA With POSCO (Excluding Rape),2,2,,,7,7,100,6,6,100
Total Crime Against Women,,454,280,496,271,3499,2582,74,3133,2183,70
