Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/09/2018 to 30/09/,2018,01/08/2018 to 31/08/,2018,01/01/2018 to 30/09/,2018,,01/01/2017 to 30/09/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,31,26,37,33,408,390,96,318,300,94
,(ii) Major,28,16,25,15,243,204,84,207,156,75
,Total,59,42,62,48,651,594,91,525,456,87
2,Kidnapping of Women (i) Minor,120,68,139,72,1075,802,75,983,731,74
,(ii) Major,3,,1,1,11,7,64,13,10,77
,Total,123,68,140,73,1086,809,74,996,741,74
3,Outraging Modesty of Women u/s 354 IPC,235,164,198,137,1896,1537,81,1609,1227,76
4,Intended insult to Modesty of Women u/s 509 IPC.,41,21,39,20,405,264,65,333,191,57
5,Dowry Prohibition Act.,,,,,8,1,13,1,,
6,(a) Dowry related murder u/s 302 IPC,,,,,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,1,1,3,3,8,8,100,9,8,89
,(C) Dowry related suicides u/s 306 IPC,1,1,,,14,13,93,24,22,92
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,30,2,33,7,347,136,39,402,157,39
7,(a) Murder due to other reasons u/s 302 IPC,1,1,,,19,16,84,23,23,100
,(b) Suicides due to other reasons u/s 306 IPC,5,3,2,1,18,14,78,16,12,75
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,4,1,6,1,31,11,35,25,7,28
8,No of cases registered Rape with POCSO,31,26,37,33,408,390,96,318,300,94
,No. of cases registered Molestation with POCSO,46,37,35,25,409,340,83,262,255,97
,No. of cases registered Eve-Teasing with POCSO,1,,5,4,13,12,92,11,7,64
,Other IPC with POCSO,2,2,4,,58,55,95,25,23,92
,PITA With POSCO (Excluding Rape),1,1,,,2,2,100,2,2,100
Total Crime Against Women,,500,304,483,290,4485,3405,76,3963,2844,72
