Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/02/2018 to 28/02/,2018,01/01/2018 to 31/01/,2018,01/01/2018 to 28/02/,2018,,01/01/2017 to 28/02/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,35,28,41,37,80,71,89,43,41,95
,(ii) Major,22,9,23,12,46,26,57,35,21,60
,Total,57,37,64,49,126,97,77,78,62,79
2,Kidnapping of Women (i) Minor,125,88,122,72,244,169,69,201,83,41
,(ii) Major,,,1,,1,1,100,1,1,100
,Total,125,88,123,72,245,170,69,202,84,42
3,Outraging Modesty of Women u/s 354 IPC,207,142,240,164,446,322,72,364,252,69
4,Intended insult to Modesty of Women u/s 509 IPC.,42,17,49,22,92,44,48,72,34,47
5,Dowry Prohibition Act.,1,,1,,2,,,,,
6,(a) Dowry related murder u/s 302 IPC,,,,,,,,,,
,(b) Dowry Death u/s 304-B IPC,2,1,1,1,3,2,67,2,2,100
,(C) Dowry related suicides u/s 306 IPC,1,,2,1,3,2,67,9,8,89
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,42,6,49,4,90,12,13,89,16,18
7,(a) Murder due to other reasons u/s 302 IPC,1,,1,,2,,,6,5,83
,(b) Suicides due to other reasons u/s 306 IPC,2,1,2,1,4,2,50,3,2,67
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,1,,5,,6,,,3,,
8,No of cases registered Rape with POCSO,35,28,41,37,80,71,89,43,41,95
,No. of cases registered Molestation with POCSO,46,32,53,40,89,66,74,38,37,97
,No. of cases registered Eve-Teasing with POCSO,11,10,4,3,27,24,89,16,16,100
,Other IPC with POCSO,3,3,7,7,13,13,100,3,3,100
,PITA With POSCO (Excluding Rape),1,,,,1,,,1,1,100
Total Crime Against Women,,481,292,537,314,1019,651,64,828,465,56
