Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/08/2018 to 31/08/,2018,01/07/2018 to 31/07/,2018,01/01/2018 to 31/08/,2018,,01/01/2017 to 31/08/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,37,33,51,46,375,364,97,287,269,94
,(ii) Major,25,15,23,16,210,172,82,185,139,75
,Total,62,48,74,62,585,536,92,472,408,86
2,Kidnapping of Women (i) Minor,139,72,124,77,962,720,75,862,651,76
,(ii) Major,1,1,1,,8,5,63,12,8,67
,Total,140,73,125,77,970,725,75,874,659,75
3,Outraging Modesty of Women u/s 354 IPC,198,137,171,114,1661,1306,79,1445,1106,77
4,Intended insult to Modesty of Women u/s 509 IPC.,39,20,33,16,363,237,65,290,159,55
5,Dowry Prohibition Act.,,,,,8,1,13,1,,
6,(a) Dowry related murder u/s 302 IPC,,,,,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,3,3,,,7,7,100,7,5,71
,(C) Dowry related suicides u/s 306 IPC,,,4,3,14,13,93,22,20,91
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,33,7,40,5,317,118,37,377,136,36
7,(a) Murder due to other reasons u/s 302 IPC,,,3,2,18,15,83,20,20,100
,(b) Suicides due to other reasons u/s 306 IPC,2,1,1,1,12,8,67,14,10,71
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,6,1,3,,27,7,26,24,6,25
8,No of cases registered Rape with POCSO,36,32,51,46,375,365,97,287,269,94
,No. of cases registered Molestation with POCSO,34,25,30,28,330,274,83,220,214,97
,No. of cases registered Eve-Teasing with POCSO,6,4,5,5,57,42,74,71,67,94
,Other IPC with POCSO,4,,3,2,52,48,92,21,19,90
,PITA With POSCO (Excluding Rape),,,2,2,7,7,100,7,7,100
Total Crime Against Women,,483,290,454,280,3984,2975,75,3546,2529,71
