Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/06/2018 to 30/06/,2018,01/05/2018 to 31/05/,2018,01/01/2018 to 30/06/,2018,,01/01/2017 to 30/06/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,33,27,34,28,260,243,93,193,180,93
,(ii) Major,22,10,26,17,159,114,72,142,103,73
,Total,55,37,60,45,419,357,85,335,283,84
2,Kidnapping of Women (i) Minor,157,84,116,66,726,519,71,662,401,61
,(ii) Major,1,1,,,6,4,67,5,2,40
,Total,158,85,116,66,732,523,71,667,403,60
3,Outraging Modesty of Women u/s 354 IPC,175,108,206,136,1293,993,77,1063,810,76
4,Intended insult to Modesty of Women u/s 509 IPC.,51,29,52,26,292,180,62,215,108,50
5,Dowry Prohibition Act.,1,,,,8,1,13,1,,
6,(a) Dowry related murder u/s 302 IPC,,,,,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,,,1,,4,4,100,6,5,83
,(C) Dowry related suicides u/s 306 IPC,5,3,1,1,9,7,78,18,15,83
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,45,6,40,4,245,67,27,286,87,30
7,(a) Murder due to other reasons u/s 302 IPC,3,3,4,4,15,12,80,14,11,79
,(b) Suicides due to other reasons u/s 306 IPC,,,,,9,6,67,14,10,71
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,3,,2,,19,3,16,19,2,11
8,No of cases registered Rape with POCSO,33,27,34,28,260,243,93,193,180,93
,No. of cases registered Molestation with POCSO,32,26,41,30,255,213,84,147,144,98
,No. of cases registered Eve-Teasing with POCSO,8,8,21,18,76,68,89,43,39,91
,Other IPC with POCSO,11,10,2,2,37,32,86,15,13,87
,PITA With POSCO (Excluding Rape),,,2,2,5,5,100,7,7,100
Total Crime Against Women,,496,271,482,282,3047,2155,71,2638,1734,66
