Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/03/2018 to 31/03/,2018,01/02/2018 to 28/02/,2018,01/01/2018 to 31/03/,2018,,01/01/2017 to 31/03/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,39,36,35,28,123,114,93,85,78,92
,(ii) Major,28,14,22,9,78,49,63,65,40,62
,Total,67,50,57,37,201,163,81,150,118,79
2,Kidnapping of Women (i) Minor,128,61,125,88,362,235,65,319,168,53
,(ii) Major,1,1,,,3,3,100,3,1,33
,Total,129,62,125,88,365,238,65,322,169,52
3,Outraging Modesty of Women u/s 354 IPC,236,165,207,142,682,515,76,572,409,72
4,Intended insult to Modesty of Women u/s 509 IPC.,56,22,42,17,148,80,54,113,56,50
5,Dowry Prohibition Act.,2,,1,,4,1,25,,,
6,(a) Dowry related murder u/s 302 IPC,2,2,,,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,,,2,1,3,2,67,4,2,50
,(C) Dowry related suicides u/s 306 IPC,,,1,,3,2,67,13,12,92
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,31,3,42,6,121,24,20,142,31,22
7,(a) Murder due to other reasons u/s 302 IPC,1,1,1,,3,1,33,7,5,71
,(b) Suicides due to other reasons u/s 306 IPC,2,1,2,1,7,3,43,5,4,80
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,3,1,1,,9,2,22,8,,
8,No of cases registered Rape with POCSO,39,36,35,28,123,114,93,85,78,92
,No. of cases registered Molestation with POCSO,51,38,46,32,134,103,77,57,56,98
,No. of cases registered Eve-Teasing with POCSO,7,6,11,10,18,15,83,18,18,100
,Other IPC with POCSO,5,5,3,3,16,16,100,3,3,100
,PITA With POSCO (Excluding Rape),1,1,1,,2,1,50,5,4,80
Total Crime Against Women,,529,307,481,292,1548,1033,67,1336,806,60
