pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
13.pdf,,Sr.,Crime,Head,s,Cur,rent,Pre,vious,Cur,rent,%,Prev,ious,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,1,Murder g Ch ain Snatc,10,8,11,11,10,8,80,10,9,90,+,0,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,2,Att.to.C.Murder atchi ng,28,27,27,26,28,27,96,23,21,91,+,5,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,3,Dacoity,3,3,2,2,3,3,100,1,0,0,+,2,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,4,Robbery (Excludin hing),90,77,66,48,90,77,86,88,65,74,+,2,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,5,Robbery -Chain Sn,9,5,13,7,9,5,56,10,5,50,-,1,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,6,Extortion,19,15,14,12,19,15,79,20,16,80,-,1,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,7,H.B.T.Day / Night,160,54,170,38,160,54,34,220,73,33,-,60,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,8,Thefts,458,140,542,126,458,140,31,539,144,27,-,81,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,9,M.V.Thefts.,215,43,243,41,215,43,20,344,53,15,-,129,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,10,Hurt,353,276,342,249,353,276,78,481,361,75,-,128,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,11,Riots.,33,26,27,13,33,26,79,101,60,59,-,68,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,12,Rape,65,55,62,49,65,55,85,64,49,77,+,1,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,13,Molestaion,230,153,182,129,230,153,67,240,164,68,-,10,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,14,Other I.P.C.,"1,888","1,265","2,896","2,271","1,888","1,265",67,"1,484",766,52,+,404,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
13.pdf,,Total,"3,561","2,147","4,597","3,022","3,561","2,147",60,"3,625","1,786",49,-,64,01.01.2019,01.12.2018,2019-01,01.01.2018,31.01.2019,31.12.2018,31.01.2018,,
