pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
39.pdf,,No.,,Mo,nth,Mo,nth,Ye,ar,of,Y,ear,of,-,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,1,Murder,15,14,12,12,28,27,96,27,25,93,+,1,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,2,Att.to.C.Murder,31,26,36,34,66,60,91,65,62,95,+,1,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,3,Dacoity,2,1,1,1,4,3,75,3,2,67,+,1,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,4,Robbery (Excluding Chain S natching),63,52,77,65,140,121,86,166,138,83,-,26,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,5,Robbery -Chain Snatching,12,2,12,4,24,11,46,28,18,64,-,4,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,6,Extortion,31,27,31,20,62,48,77,63,54,86,-,1,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,7,H.B.T.Day / Night,153,50,176,53,328,127,39,333,134,40,-,5,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,8,Thefts,350,95,412,125,763,248,33,997,285,29,-,234,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,9,M.V.Thefts.,248,50,325,59,573,156,27,448,141,31,+,125,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,10,Hurt,359,287,341,268,699,592,85,758,627,83,-,59,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,11,Riots.,21,12,30,15,51,32,63,51,37,73,+,0,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,12,Rape,73,52,75,49,153,114,75,160,128,80,-,7,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,13,Molestaion,151,101,169,125,319,234,73,469,376,80,-,150,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,14,Other I.P.C.,"1,518",883,"1,444",744,"2,958","1,707",58,"3,587","2,164",60,-,629,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
39.pdf,,Total,"3,027","1,652","3,141","1,574","6,168","3,480",56,"7,155","4,191",59,-,987,01.02.2021,01.01.2021,2021-02,01.01.2020,28.02.2021,31.01.2021,28.02.2020,,
